OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY,GlobalID,LAT,LON
1385,16700,16000,CRESCENT CITY,US,41.75,-124.2,CP07,18603,V,CB,F,N, ,N,Y,N,O,M,O, ,5, , , , ,N, ,Y,Y, , , , , , , ,Y,Y,Y,Y,Y, ,Y,Y, , , ,Y,Y, , , , , , , , , ,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,C, , ,ea2991e3-8406-48de-8e8f-f93da1c78c1d,41.7500000002998,-124.1999999999
1386,16710,16000,PORT ORFORD,US,42.733333,-124.5,CP07,18589,V,CN,F,N,N,N, , , ,J,O, ,5, , , , ,N, ,Y,Y, , , , , , , ,Y, , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,C, , ,d4f2aa36-fe4e-4b87-a802-7cda02b280c2,42.7333333331669,-124.5000000002
1387,16720,16000,BANDON,US,43.116667,-124.416667,CP07,18588,V,RN,E, ,Y,N,Y,Y, ,O,O, ,5, , , , ,N, ,Y,Y, , , , , , , , , , , , , ,Y,Y, , , ,N,N, , , , , , , , , ,Y,Y,N,N,N,N,Y,N,N,N,N, , , ,1365d00c-1da1-4337-a304-f991e15c100a,43.1166666663336,-124.416666666433
1388,16730,16000,PROSPER,US,43.15,-124.366667,CP07,18580,V,RN,E, , , , , ,P,P, , ,5, , , , ,N, ,Y,Y, , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , ,B, ,S,8e477c14-49a8-4773-ad5f-6de250b7aa78,43.1500000001999,-124.366666666533
1389,16740,16000,EMPIRE,US,43.4,-124.283333,CP07,18587,M,CN,E, , , , ,Y,L,L,N, ,5, , , , ,N, ,Y,Y, , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,C, ,M,6fc513c5-2f25-4131-9cb1-a184a0cc0af0,43.3999999997003,-124.283333333666
1390,16750,16000,NORTH BEND,US,43.4,-124.216667,CP07,18587,V,CN,E,N,N,N,Y, ,L,L,L, ,5, , , , ,N, ,Y,Y, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,daa27f0e-69c1-4566-9a75-539da46530b7,43.3999999997003,-124.216666666833
1391,16770,16000,COOS BAY,US,43.366667,-124.216667,CP07,18587,S,CN,E,N,Y,N,Y,Y,L,L,L,L,6,L,Y,Y,Y,N,N,Y,Y,Y,Y, ,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y, , ,N, ,Y, , , , , , ,Y, , ,Y,Y,Y,Y,Y, , ,C,S,M,4d056776-9ff8-4342-90e0-c6f885c3d123,43.3666666667334,-124.216666666833
1392,16790,16000,WINCHESTER BAY,US,43.683333,-124.183333,CP07,18584,V,RN,E,N,N,N, , ,P, , , ,5, , , , ,N, ,Y,Y, , , , , , , ,Y, ,Y, , , ,Y, , , , ,Y,Y, , , , , , , , , ,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y, , , ,60ea18d1-6235-477f-ab4d-5c0ed5d3166e,43.6833333330669,-124.183333332967
1393,16795,16000,GARDINER,US,43.716667,-124.1,CP07,18584,V,RN,E,N,N,N, , ,N, , , ,5, , , , ,N, ,Y,Y, , , , , , , ,Y, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ce050f6f-612d-4ef9-bfd1-750ad955f5f9,43.7166666669332,-124.1000000001
1394,16800,16000,REEDSPORT,US,43.7,-124.1,CP07,18584,V,RN,E,Y,N,N, ,Y,M, ,M, ,5, , ,Y, ,N, ,Y,Y, , , , , , , ,Y,Y,Y,Y, ,Y,Y, , , , ,Y,Y, , , , , , , , , ,Y,Y,N,Y,Y,Y,Y,Y,Y, , ,C, ,S,57b6f608-4924-48f5-9307-8349d2c40baf,43.7000000000001,-124.1000000001
1395,16803,16000,FLORENCE,US,43.966667,-124.116667,CP07,18583,V,RN,E, , ,N,Y,Y,O, ,O, ,4, , ,Y, , , , ,Y, ,Y, , , , , ,Y, ,Y, , ,Y,Y, , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,C, , ,563a8daf-06c4-4cab-8a4a-788ae247e0e3,43.9666666664336,-124.116666667033
1396,16805,16000,GLENADA,US,43.966667,-124.116667,CP07,18583,V,RN,E, , ,N, ,Y,O, ,O, ,4, , ,Y, , , , ,Y, ,Y, , , , , ,Y, ,Y, , ,Y,Y, , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,C, , ,a992cb9f-9e39-4ce8-b4e3-0c05d59d5a25,43.9666666664336,-124.116666667033
1397,16808,16000,CUSHMAN,US,43.983333,-124.066667,CP07,18583,V,RN,E, , ,N, ,Y,P, ,P, ,4, , , , , , , ,Y, ,Y, , , , , ,Y, ,Y, , ,Y,Y, , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,C, ,S,32e0b8d5-0a6c-4d81-9e99-f6312866f557,43.9833333333667,-124.066666666234
1398,16810,16000,WALDPORT,US,44.433333,-124.066667,CP07,18561,V,CN,G, , ,N,Y,Y,P, , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , , ,747c2ed1-6ebd-4d4d-be54-981ca3f8361b,44.4333333333667,-124.066666666234
1399,16820,16000,NEWPORT,US,44.633333,-124.05,CP07,18581,V,RN,E, , ,N,N,Y,L,P,N, ,6, , ,Y,Y, ,Y,Y,Y,Y,Y, ,Y,Y, , ,Y, ,Y,Y,Y,Y,Y, , , , ,Y,Y, , , , , , , , , ,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,C, ,S,56557a31-804c-4f5e-a6ed-41c487e68107,44.633333332967,-124.0500000002
1400,16830,16000,TOLEDO,US,44.616667,-123.933333,CP07,18581,V,RN,E, , ,N,N,Y,P, ,P, ,6,L, , , ,N,Y, ,Y, , , ,Y, , , ,Y,Y, , , ,Y,Y, , , , , , , , ,Y, , ,Y, ,Y,Y,Y,Y, ,N,N,N,Y,Y,Y,Y,Y,C, ,S,1d52dce4-52d3-4180-b60b-cd4e346e8bd0,44.6166666669332,-123.933333333467
1401,16835,16000,DEPOE BAY,US,44.8,-124.066667,CP07,18561,V,CN,G, , ,N,N,Y,P, , , ,4, , , , , , , ,Y, , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,C, , ,8817f4a4-7bd9-4c39-8bdc-a457ca1b021b,44.7999999996003,-124.066666666234
1402,16838,16000,ILWACO,US,46.3,-124.05,CP07,18521,V,RN,G, , ,N,N, ,P, ,P, ,4, , , , , ,Y, ,Y, , , , , , , ,Y, ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,C, ,S,e1a9843a-f516-4a50-89ee-0aed193e903b,46.3000000001999,-124.0500000002
1409,6970,6585,MONHEGAN,US,43.766667,-69.316667,CP01,13301,V,CN,P,Y,N,N,Y,N,O,O,O, ,9,M,N, ,Y,N,Y,N,Y, , ,N,N,Y,N, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y, , , , , , , , ,f4b18219-980e-44c7-839b-8691b1e14f6a,43.7666666668332,-69.3166666668332
1410,6980,6585,PORT CLYDE,US,43.916667,-69.25,CP01,13301,V,CN,G,Y,N,Y,Y,N,O,K,N, ,9,M,Y,Y,N,N,Y,N,Y, , ,N,N,Y,N, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y, ,Y,Y,Y,C, ,L,da1f355f-0b69-42c6-a31e-2181b375cc98,43.9166666665335,-69.2499999999999
1411,6990,6585,THOMASTON,US,44.066667,-69.183333,CP01,13301,V,RN,G,Y,N,Y,Y,Y,N,N,O, ,9,M, , ,N,N,N,N,Y, , ,N,N,Y,N, ,Y, ,Y,Y, ,Y,Y, , , , ,Y, , ,N, , , , , , , , , , , ,Y,Y,Y, ,Y,Y,Y,B, ,S,3c15ea4e-e9b3-4daa-8f4d-3ece3aa7ec25,44.0666666662337,-69.1833333331667
1412,7000,6585,FRIENDSHIP,US,43.966667,-69.333333,CP01,13301,V,CN,G,Y,N,Y,Y,N,M,L,O, ,9,M, , ,N,N,N,N, , , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y, ,Y,Y,Y,C, ,S,1f3935ae-d5a5-4b5c-a77c-23d9c10d454c,43.9666666664336,-69.3333333337663
1413,7010,6585,NEW HARBOR,US,43.866667,-69.483333,CP01,13301,V,CN,F,Y,N,N,N,N,M,M,P, ,9, , , ,N,N,N,N,Y, , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y, ,Y,Y,Y,C, , ,d480fd6b-6dff-43d7-9c4e-ff7eb56297a1,43.8666666666334,-69.4833333334665
1414,7020,6585,PEMAQUID BEACH,US,43.866667,-69.533333,CP01,13293,V,CN,F,Y,N,N,Y,N,H,J,P, ,9,M,Y, ,N,N,N,N, , , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , , ,bed4e061-dabb-4634-b471-c2efd95ae33b,43.8666666666334,-69.5333333333666
1415,7030,6585,SOUTH BRISTOL,US,43.866667,-69.55,CP01,13293,V,CN,F,Y,N,N,Y,N,N,H,O, ,9,M, , ,N,N,N,N, , , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , ,Y,Y,Y, ,Y,Y,Y,C, ,S,dadca925-7cb3-4030-b25a-81e247a958af,43.8666666666334,-69.5500000002997
1416,7040,6585,BOOTHBAY HARBOR,US,43.866667,-69.583333,CP01,13293,V,CN,F,Y,N,Y,Y,N,N,H,O, ,9,M, , ,N,N,N,N,N, , ,N,Y,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, ,Y, , , , ,Y, , , , , ,Y,Y, ,Y,Y,Y,B, ,S,40088b37-8ea9-4fea-9411-7a1e0c73cdd2,43.8666666666334,-69.5833333332667
1417,7070,6585,ROBINHOOD,US,43.85,-69.733333,CP01,13296,V,RN,G,Y,N,N,Y,N,H,C,P, ,9,M,Y, ,N,N,N,N,N, , ,N,Y,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N,Y, , , , ,Y,Y, , , , ,Y,Y,Y,Y,Y,Y,Y,B,S,S,27fb421a-69ab-4564-9e64-d2d35eb5cba1,43.8499999997003,-69.7333333329669
1418,7080,6585,BATH,US,43.916667,-69.816667,CP01,13296,S,RN,G,Y,N,N,Y,N,L,L,L, ,6,M, , ,N,N,N,Y, , ,Y,N,Y,Y,Y, ,Y, , , ,Y,Y,Y, , , , ,Y, , ,N,Y,Y,Y,Y, , , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,A,M,S,0db84ba2-d650-4dca-b65c-da184ecc20d4,43.9166666665335,-69.8166666667332
1419,7100,6585,GARDINER,US,44.233333,-69.766667,CP01,13298,V,RN,G,N,N,Y,Y,Y,O,O,O, ,5,M, , ,N,N,N,Y, , , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y, , , , , , , , ,e446f92c-23c4-4d8d-9b41-4896c8dcb880,44.2333333337664,-69.7666666668331
1420,7120,6585,AUGUSTA,US,44.316667,-69.766667,CP01,13298,V,RN,G,N,N,Y,Y,Y,P,P,Q, ,4,M, , ,N,N,N,Y, , , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , ,Y, , ,N, , , , , , , , , , , , ,Y, ,Y,Y,Y, ,C, ,S,7b81c523-d8cd-49f6-b8c0-9a454be3e7fb,44.3166666666334,-69.7666666668331
1421,7130,6585,CUNDY HARBOR,US,43.783333,-69.9,CP01,13290,V,CN,F,Y,N,Y,N, ,O,M,P, ,9,M,Y, ,N,N,N, ,Y, , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y, ,Y, , ,C, ,S,e5c4fb9e-905b-4249-b6ab-4c8004af35a6,43.7833333337664,-69.8999999996003
1422,7140,6585,SOUTH HARPSWELL,US,43.733333,-70.016667,CP01,13290,V,CN,F,N,N,N,Y, ,O,H,P, ,9,M, , ,N,N,N, ,Y, , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , , ,fadca589-10b9-4032-9aa0-e9ac9964ea50,43.733333332967,-70.0166666663335
1423,7150,6585,PORTLAND,US,43.666667,-70.25,CP01,13292,M,CN,E,Y,N,N,N,Y,K,G,J,G,9,L,Y,Y,Y,N,Y,Y, , , ,Y,Y,Y,Y, ,Y,Y,Y,Y,Y,Y,Y, , , , ,Y,Y, ,Y,Y,Y,Y,Y, , , ,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,A,M,M,b35316e7-1d6f-442e-a3b7-74daf6987a51,43.6666666670331,-70.2499999998001
1424,7160,6585,SACO,US,43.5,-70.45,CP01,13287,V,RN,F,Y,N,Y,Y,N,P,P,P, ,9,M, , ,N,N,N, ,Y, , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y,C, , ,5416bf27-1cfc-4857-aece-562e948b547d,43.5000000003998,-70.4500000002997
1425,7170,6585,KENNEBUNKPORT,US,43.366667,-70.466667,CP01,13286,V,RN,F,Y,N,Y,Y,N,P,P,P, ,9,M, , ,N,N,N, , , , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y,Y,C, ,S,9b71a10f-0208-47dc-b326-c38f30438f00,43.3666666667334,-70.4666666663335
1426,7180,6585,PORTSMOUTH,US,43.083333,-70.75,CP01,13283,S,RN,G,N,N,N,Y,Y,K,C,K,K,8,L,Y,Y,Y,N,Y,Y, , , ,Y,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y, , , , ,Y, , ,N, ,Y, ,Y,Y,Y,Y, , , , , ,Y,Y,Y,Y,Y,Y,C, ,S,f608c3b6-2dd9-46c7-8460-521fb7fa1318,43.0833333333667,-70.7499999997002
1427,6670,6585,COREA,US,44.4,-67.966667,CP01,13324,V,CN,F,Y,Y,Y,Y,N,P,P,P, ,11,M,Y,Y,N,N,Y,N,Y, , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y,Y,Y, , , , , ,5bb006ae-d33e-46fb-bf1e-fe57230b71b2,44.4000000003997,-67.9666666668332
1428,6170,6070,GOLDSBORO,CA,45.183333,-61.65,145,14100,V,CN,G,N,N,Y,Y, ,M,M,N, ,4,M,Y,Y,N,N,N,N,N, , ,N,N,Y,Y, , , , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y, ,Y, , , , , ,a7c4e30c-bf5e-48b7-bfe8-ed51ba5e81c5,45.1833333336665,-61.6499999999
1429,6190,6070,STORMONT,CA,45.216667,-61.716667,145,14100,V,CN,G,N,N,Y,Y, ,E,L,N, ,6, ,Y,Y,N,N,N,N,N, , ,N,N,Y,Y, , ,Y, , , , ,Y, , , , , , , ,N, , , , , , , , , , , , , , , , , , , , , ,e3cdd0ac-50d0-458a-9237-f621793dc4e1,45.2166666666334,-61.7166666667333
1430,6220,6070,SONORA,CA,45.066667,-61.916667,145,14100,V,RN,E,N,N,Y,Y, ,O,O,O, ,4,M,Y,N,N,N,N,N,N, , ,N,N,Y,Y, ,Y,Y, , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y, , , , , , , ,1d79427d-7193-494c-9c25-9ba414a5e134,45.0666666669332,-61.9166666663335
