OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY,GlobalID,LAT,LON
952,48730,48610,PIPAVAV BANDAR,IN,20.916667,71.516667,173,63080,S,CN,G,Y,N,N,Y,N,G,L,G,H,3,L,Y,Y,Y, ,Y,Y,Y,Y,Y, ,Y,Y, ,Y,Y,Y, ,Y,Y,Y,Y, , , , ,Y,Y, ,N,Y,Y, ,Y,Y,Y,Y,Y, , , , ,Y,Y,Y, , , ,N,L,L,c894c018-30cc-4c3b-a482-9e793fb4d39a,20.9166666666334,71.5166666662337
977,49290,49210,TRINCOMALEE HARBOR,LK,8.55,81.216667,173,63242/1,M,CN,G,N,N,N,Y,N,B,A,H,H,1,L, ,Y,Y,N,Y,Y,Y, ,Y, ,Y,Y,Y, ,Y,Y,Y, , ,Y, ,Y, , , ,Y,Y, , , ,Y, , , , ,Y,Y,N,N,N,N, ,Y,Y, ,N,N, , ,S,f7d729a2-92d3-4205-991a-358254615c18,8.5500000001,81.2166666666334
978,49300,49210,KANKESANTURAI,LK,9.816667,80.05,173,63250,V,OR,F,N,N,N,Y, ,K,K,M, ,2,M, , ,Y, ,Y,Y, , , , , ,Y,Y,Y, , , , ,Y,Y,Y,Y, , , , , , ,Y,Y, , ,Y, , ,Y,Y, , , , ,Y,N, , , , , , ,S,1aefd558-d377-428a-9a60-5eb890944fef,9.81666666633362,80.0500000001999
979,49320,49310,TUTICORIN,IN,8.8,78.166667,173,63250/2,S,CB,F,Y,N,N,Y, ,H,F,K,K,1,M,Y,Y,Y,N,Y,Y,Y,N,N, ,Y,Y, , , , ,Y, ,Y,Y,Y,Y, , , ,Y,Y, ,Y,Y,Y, , ,Y,Y,Y,Y, , , , ,Y,Y,Y,N,N,Y,C,S,S,6248b114-b55a-447e-bf8f-c0b3e155726e,8.79999999960034,78.1666666664336
980,49350,49310,NAGAPPATTINAM,IN,10.766667,79.85,173,63260,S,OR,P,Y,Y,N,N, ,G,G, , ,0,L,Y, ,Y,N,Y,N,N,Y,N, ,Y,Y, , , , ,Y, , ,Y,N,Y, , , ,Y,N, ,N, ,Y, , , , ,Y,Y, , , , , ,N,N, ,Y,Y,C, ,S,00960b4e-a590-4a0a-ac48-ba4c4a2bd9df,10.7666666662337,79.8499999997003
981,49410,49310,CUDDALORE,IN,11.716667,79.766667,173,63260,V,OR,P,Y,Y,N,Y,N,P,J,P, ,0,L, , ,Y,N,Y,N,N,N,N,N,N,Y, , ,N, ,Y, , ,Y, ,Y, , , ,Y,N, ,N, ,Y, , , ,Y,Y,Y, , , , ,Y,Y,N,N, , ,N,S,S,789e198b-ea9f-4f29-b430-35b46c4634b6,11.7166666670331,79.7666666668333
982,49430,49310,PONDICHERRY,IN,11.933333,79.833333,173,63260,V,OR,P,N,N,N,Y, ,J,J,N, ,1,L,N, ,Y,N,Y,N,N,N,N,N,Y,Y,N, ,N,N,Y,Y,Y,Y, ,Y, , , ,Y, , ,N, ,Y, , , , ,Y, , , , , ,N,Y,N,N,N,N,C,S,S,0d7bb35d-8eee-434f-8179-0ce1d36d24de,11.9333333335666,79.8333333336665
983,49450,49310,CHENNAI (MADRAS),IN,13.1,80.3,173,63271/0,L,CB,G,Y,Y,N,Y,Y,D,F,H,F,1,M,Y,Y,Y,Y,Y,Y,Y, ,Y, ,Y,Y, , , , ,Y, ,Y,Y,Y,Y,Y, , ,Y,Y, ,Y,Y,Y,Y,Y, ,Y,Y,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y,A,M,M,0181b2e3-0eeb-4794-8fe7-d55dbe524205,13.1,80.2999999997003
984,49460,49310,MACHILIPATNAM,IN,16.15,81.166667,173,63281/0,V,OR,P,N,Y,N,Y,N,G,G,H,G,1,M,Y, ,Y, ,Y,N,N,N,N, ,Y,Y, , , ,Y,Y, , ,Y, ,Y, , , ,Y, , ,N, , , , , , , ,Y, , , ,Y,Y,Y, , , , ,C, ,S,0fa3eb26-a3f5-4114-a295-59986caafa01,16.1500000001999,81.1666666667333
985,49470,49310,KAKINADA BAY,IN,17.0,82.316667,173,63290,V,CB,P,Y,Y,N,Y,N, ,K,P, ,2,L,Y,Y,Y,Y,Y,Y,Y,N,N, ,Y,Y,Y, , ,Y,N,Y, ,Y, ,Y, , , ,Y,Y, ,Y, ,Y, , , ,Y,Y,Y, , , , ,Y,Y,Y,N,N,N,C,S, ,97ec07d9-f968-4a0c-b819-e9aa2d1c76d4,17.0000000002998,82.3166666662337
